Date,Datetime,Close,Volume,Open,High,Low,Symbol,Type
2025-04-16,2025-04-16 05:30:00,83656.49248858042,25084671427.622566,83656.49248858042,83656.49248858042,83656.49248858042,BTC-USD,crypto
2025-04-17,2025-04-17 05:30:00,84105.77942167096,26948109141.803364,84105.77942167096,84105.77942167096,84105.77942167096,BTC-USD,crypto
2025-04-18,2025-04-18 05:30:00,84930.90857600998,19323821375.14309,84930.90857600998,84930.90857600998,84930.90857600998,BTC-USD,crypto
2025-04-19,2025-04-19 05:30:00,84433.75017215389,9550691272.782005,84433.75017215389,84433.75017215389,84433.75017215389,BTC-USD,crypto
2025-04-20,2025-04-20 05:30:00,85126.66244301842,12635983530.804455,85126.66244301842,85126.66244301842,85126.66244301842,BTC-USD,crypto
2025-04-21,2025-04-21 05:30:00,85073.16544858096,12625843856.313684,85073.16544858096,85073.16544858096,85073.16544858096,BTC-USD,crypto
2025-04-22,2025-04-22 05:30:00,87452.04699068287,40070025414.28289,87452.04699068287,87452.04699068287,87452.04699068287,BTC-USD,crypto
2025-04-23,2025-04-23 05:30:00,93576.16588573981,53841992235.36636,93576.16588573981,93576.16588573981,93576.16588573981,BTC-USD,crypto
2025-04-24,2025-04-24 05:30:00,93605.45230873208,39901515879.65954,93605.45230873208,93605.45230873208,93605.45230873208,BTC-USD,crypto
2025-04-25,2025-04-25 05:30:00,93872.81422867288,30031246761.093452,93872.81422867288,93872.81422867288,93872.81422867288,BTC-USD,crypto
2025-04-26,2025-04-26 05:30:00,94773.11200643536,39336184715.04292,94773.11200643536,94773.11200643536,94773.11200643536,BTC-USD,crypto
2025-04-27,2025-04-27 05:30:00,94644.06637120107,15445392739.787264,94644.06637120107,94644.06637120107,94644.06637120107,BTC-USD,crypto
2025-04-28,2025-04-28 05:30:00,93809.33781968223,15926259371.057959,93809.33781968223,93809.33781968223,93809.33781968223,BTC-USD,crypto
2025-04-29,2025-04-29 05:30:00,95030.60645474444,31913814736.53902,95030.60645474444,95030.60645474444,95030.60645474444,BTC-USD,crypto
2025-04-30,2025-04-30 05:30:00,94256.35946318062,25882629766.278946,94256.35946318062,94256.35946318062,94256.35946318062,BTC-USD,crypto
2025-05-01,2025-05-01 05:30:00,94235.75331048167,26541700309.366146,94235.75331048167,94235.75331048167,94235.75331048167,BTC-USD,crypto
2025-05-02,2025-05-02 05:30:00,96426.94522273027,30207566405.468834,96426.94522273027,96426.94522273027,96426.94522273027,BTC-USD,crypto
2025-05-03,2025-05-03 05:30:00,96855.5681343944,23276376191.483967,96855.5681343944,96855.5681343944,96855.5681343944,BTC-USD,crypto
2025-05-04,2025-05-04 05:30:00,95922.86842404422,13797554863.642815,95922.86842404422,95922.86842404422,95922.86842404422,BTC-USD,crypto
2025-05-05,2025-05-05 05:30:00,94326.62048529249,14903122945.616686,94326.62048529249,94326.62048529249,94326.62048529249,BTC-USD,crypto
2025-05-06,2025-05-06 05:30:00,94758.8237105546,24086456278.203846,94758.8237105546,94758.8237105546,94758.8237105546,BTC-USD,crypto
2025-05-07,2025-05-07 05:30:00,96854.53198815876,23348052607.071873,96854.53198815876,96854.53198815876,96854.53198815876,BTC-USD,crypto
2025-05-08,2025-05-08 05:30:00,97026.49376966801,64376174032.08048,97026.49376966801,97026.49376966801,97026.49376966801,BTC-USD,crypto
2025-05-09,2025-05-09 05:30:00,103076.27555512934,50020047720.65604,103076.27555512934,103076.27555512934,103076.27555512934,BTC-USD,crypto
2025-05-10,2025-05-10 05:30:00,102962.54045692299,40800894903.23446,102962.54045692299,102962.54045692299,102962.54045692299,BTC-USD,crypto
2025-05-11,2025-05-11 05:30:00,104630.8792994166,21558992540.042442,104630.8792994166,104630.8792994166,104630.8792994166,BTC-USD,crypto
2025-05-12,2025-05-12 05:30:00,103994.061616746,27389436049.454792,103994.061616746,103994.061616746,103994.061616746,BTC-USD,crypto
2025-05-13,2025-05-13 05:30:00,102876.8304286011,43090605819.36596,102876.8304286011,102876.8304286011,102876.8304286011,BTC-USD,crypto
2025-05-14,2025-05-14 05:30:00,104184.49039270742,33861432519.50822,104184.49039270742,104184.49039270742,104184.49039270742,BTC-USD,crypto
2025-05-15,2025-05-15 05:30:00,103594.42575090709,28398245846.798244,103594.42575090709,103594.42575090709,103594.42575090709,BTC-USD,crypto
2025-05-16,2025-05-16 05:30:00,103708.85136423641,31823340473.339912,103708.85136423641,103708.85136423641,103708.85136423641,BTC-USD,crypto
2025-05-17,2025-05-17 05:30:00,103556.03493982446,25887953182.14765,103556.03493982446,103556.03493982446,103556.03493982446,BTC-USD,crypto
2025-05-18,2025-05-18 05:30:00,103212.36483885496,18950056010.479057,103212.36483885496,103212.36483885496,103212.36483885496,BTC-USD,crypto
2025-05-19,2025-05-19 05:30:00,106030.6376831359,30744060179.802963,106030.6376831359,106030.6376831359,106030.6376831359,BTC-USD,crypto
2025-05-20,2025-05-20 05:30:00,105629.41580436694,43339734153.75087,105629.41580436694,105629.41580436694,105629.41580436694,BTC-USD,crypto
2025-05-21,2025-05-21 05:30:00,106786.71995834043,36393687094.25122,106786.71995834043,106786.71995834043,106786.71995834043,BTC-USD,crypto
2025-05-22,2025-05-22 05:30:00,109665.86371625263,60722883113.84,109665.86371625263,109665.86371625263,109665.86371625263,BTC-USD,crypto
2025-05-23,2025-05-23 05:30:00,111560.356938144,52218408239.45193,111560.356938144,111560.356938144,111560.356938144,BTC-USD,crypto
2025-05-24,2025-05-24 05:30:00,107216.66856870624,49251745837.96465,107216.66856870624,107216.66856870624,107216.66856870624,BTC-USD,crypto
2025-05-25,2025-05-25 05:30:00,107831.36374380375,27128230116.517162,107831.36374380375,107831.36374380375,107831.36374380375,BTC-USD,crypto
2025-05-26,2025-05-26 05:30:00,108861.81037744327,29652659665.048733,108861.81037744327,108861.81037744327,108861.81037744327,BTC-USD,crypto
2025-05-27,2025-05-27 05:30:00,109377.71513263129,27950577137.918888,109377.71513263129,109377.71513263129,109377.71513263129,BTC-USD,crypto
2025-05-28,2025-05-28 05:30:00,109068.45694901445,38978783508.88622,109068.45694901445,109068.45694901445,109068.45694901445,BTC-USD,crypto
2025-05-29,2025-05-29 05:30:00,107838.18431100152,29794278037.284946,107838.18431100152,107838.18431100152,107838.18431100152,BTC-USD,crypto
2025-05-30,2025-05-30 05:30:00,105745.41660358038,38279231892.56757,105745.41660358038,105745.41660358038,105745.41660358038,BTC-USD,crypto
2025-05-31,2025-05-31 05:30:00,104010.91956242644,39680060337.610214,104010.91956242644,104010.91956242644,104010.91956242644,BTC-USD,crypto
2025-06-01,2025-06-01 05:30:00,104687.50742934884,20432694555.09522,104687.50742934884,104687.50742934884,104687.50742934884,BTC-USD,crypto
2025-06-02,2025-06-02 05:30:00,105710.00593822816,17721500507.53389,105710.00593822816,105710.00593822816,105710.00593822816,BTC-USD,crypto
2025-06-03,2025-06-03 05:30:00,105884.74263221149,26313843058.73954,105884.74263221149,105884.74263221149,105884.74263221149,BTC-USD,crypto
2025-06-04,2025-06-04 05:30:00,105434.47745144971,25925661121.080395,105434.47745144971,105434.47745144971,105434.47745144971,BTC-USD,crypto
2025-06-05,2025-06-05 05:30:00,104812.9182188067,25812143562.797962,104812.9182188067,104812.9182188067,104812.9182188067,BTC-USD,crypto
2025-06-06,2025-06-06 05:30:00,101650.7387545425,39711941132.0234,101650.7387545425,101650.7387545425,101650.7387545425,BTC-USD,crypto
2025-06-07,2025-06-07 05:30:00,104409.74967959142,29897390978.090103,104409.74967959142,104409.74967959142,104409.74967959142,BTC-USD,crypto
2025-06-08,2025-06-08 05:30:00,105681.4546141758,17749731308.73042,105681.4546141758,105681.4546141758,105681.4546141758,BTC-USD,crypto
2025-06-09,2025-06-09 05:30:00,105692.24740699006,16044679696.270103,105692.24740699006,105692.24740699006,105692.24740699006,BTC-USD,crypto
2025-06-10,2025-06-10 05:30:00,110261.57485948496,38222993297.50514,110261.57485948496,110261.57485948496,110261.57485948496,BTC-USD,crypto
2025-06-11,2025-06-11 05:30:00,110212.73252109604,36303839182.734825,110212.73252109604,110212.73252109604,110212.73252109604,BTC-USD,crypto
2025-06-12,2025-06-12 05:30:00,108679.9760916168,30338936631.626648,108679.9760916168,108679.9760916168,108679.9760916168,BTC-USD,crypto
2025-06-13,2025-06-13 05:30:00,105979.22902375912,35865159511.38857,105979.22902375912,105979.22902375912,105979.22902375912,BTC-USD,crypto
